Cód.Produto,Descrição,Curva,Embal.,Qtde Venda,Qtde Acumulada,Perc.,Perc.Acumulada,Dias Pedido,Média por dia,Capacid.Apan.,Perc.Capacid.Apan.,Endereço Apanha,Tipo Ender.,Estoque (Unid.),Ativ.Ressupr.,Estoque Armaz. (Unid.),Estoque Geral (Unid.)
20000101175.0,INFRALAX C/ 15 COMP,A,48.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,01.014.032.02.01,Cx.Fechada,1728.0,0.0,31056.0,33125.0
20000102133.0,ALLEXOFEDRIN ( D) 60+120MG C/ 10COMP,A,48.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,01.014.040.02.02,Cx.Fechada,1584.0,0.0,39072.0,41019.0
20000061213.0,ALCOOL GEL 460G LAVIE,A,12.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,01.016.041.01.01,Cx.Fechada,300.0,1.0,2508.0,2835.0
20000002298.0,ASCORVIT-C 1G VITAMINA C + ZINCO 60 CPS,A,12.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,01.010.038.02.01,Cx.Fechada,96.0,0.0,0.0,126.0
20000063523.0,TESTE DE GRAVIDEZ TIRA VERICHECK 1 TESTE,A,24.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,01.017.027.01.01,Cx.Fechada,552.0,0.0,3912.0,4509.0
20000102138.0,INFRALAX C/30 COMP,A,48.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,01.014.042.02.01,Cx.Fechada,1344.0,0.0,49344.0,51147.0
20000106011.0,NARIDRIN 12 HORAS FR C/30ML,A,100.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,01.010.018.01.02,Cx.Fechada,2600.0,0.0,144700.0,147702.0
20000010162.0,PARACETAMOL 750MG C/ 200COMP,A,18.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,01.014.024.01.02,Cx.Fechada,36.0,0.0,0.0,57.0
20000010479.0,ACET TRIANCINOLONA PDA 10GR,A,56.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,01.014.036.02.01,Cx.Fechada,1008.0,0.0,2744.0,4048.0
20000010358.0,ACETILCISTEINA 200MG 16ENV 5G,A,36.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,01.015.041.01.02,Cx.Fechada,576.0,0.0,0.0,686.0
